Year,Technology,Energy_TWh
1997,Other renewables,161.41173
1998,Other renewables,168.2174
1999,Other renewables,176.64807
2000,Other renewables,184.92102
2001,Other renewables,192.07533
2002,Other renewables,206.76979
2003,Other renewables,218.43156
2004,Other renewables,236.08224
2005,Other renewables,255.4756
2006,Other renewables,272.06897
2007,Other renewables,295.30084
2008,Other renewables,315.9329
2009,Other renewables,338.23798
2010,Other renewables,378.38107
2011,Other renewables,397.03775
2012,Other renewables,428.7513
2013,Other renewables,461.37805
2014,Other renewables,502.1095
2015,Other renewables,534.2973
2016,Other renewables,547.1505
2017,Other renewables,576.2297
2018,Other renewables,624.6732
2019,Other renewables,652.1985
2020,Other renewables,688.7327
2021,Other renewables,741.6173
2022,Other renewables,761.4335
2023,Other renewables,771.6347
2024,Other renewables,792.43414
